Title,Category,Release date,Ratings,Metascore,Page URL
EX LIBRIS: The New York Public Library,movie,"SEP 13, 2017",N/A,91,https://www.metacritic.com/movie/ex-libris-the-new-york-public-library/
 Young Mr. Lincoln,movie,"JUN 9, 1939",Approved,91,https://www.metacritic.com/movie/young-mr-lincoln/
The Texas Chain Saw Massacre,movie,"OCT 1, 1974",R,91,https://www.metacritic.com/movie/the-texas-chain-saw-massacre/
Repulsion (re-release),movie,"APR 21, 2006",Not Rated,91,https://www.metacritic.com/movie/repulsion-re-release/
Tótem,movie,"JAN 26, 2024",Unrated,91,https://www.metacritic.com/movie/totem/
The Ladykillers,movie,"FEB 20, 1956",Not Rated,91,https://www.metacritic.com/movie/the-ladykillers-1955/
Stories We Tell,movie,"MAY 10, 2013",PG-13,91,https://www.metacritic.com/movie/stories-we-tell/
The Boy and the Heron,movie,"NOV 22, 2023",PG-13,91,https://www.metacritic.com/movie/the-boy-and-the-heron/
A Bread Factory Part One: For the Sake of Gold,movie,"OCT 26, 2018",N/A,91,https://www.metacritic.com/movie/a-bread-factory-part-one-for-the-sake-of-gold/
On the Waterfront,movie,"JUL 28, 1954",Approved,91,https://www.metacritic.com/movie/on-the-waterfront/
Jafar Panahi's Taxi,movie,"OCT 2, 2015",Not Rated,91,https://www.metacritic.com/movie/jafar-panahis-taxi/
Ida,movie,"MAY 2, 2014",PG-13,91,https://www.metacritic.com/movie/ida/
All the Beauty and the Bloodshed,movie,"NOV 23, 2022",Unrated,91,https://www.metacritic.com/movie/all-the-beauty-and-the-bloodshed/
Beau Travail,movie,"MAR 31, 2000",Unrated,91,https://www.metacritic.com/movie/beau-travail/
Her,movie,"DEC 18, 2013",R,91,https://www.metacritic.com/movie/her/
Waltz with Bashir,movie,"DEC 25, 2008",R,91,https://www.metacritic.com/movie/waltz-with-bashir/
Hit the Road,movie,"APR 22, 2022",N/A,91,https://www.metacritic.com/movie/hit-the-road/
"This Is Not a Burial, It's a Resurrection",movie,"APR 2, 2021",Not Rated,91,https://www.metacritic.com/movie/this-is-not-a-burial-its-a-resurrection/
They Shall Not Grow Old,movie,"DEC 17, 2018",R,91,https://www.metacritic.com/movie/they-shall-not-grow-old/
An Autumn Afternoon,movie,"MAY 20, 1964",Not Rated,91,https://www.metacritic.com/movie/an-autumn-afternoon/
The Favourite,movie,"NOV 23, 2018",R,91,https://www.metacritic.com/movie/the-favourite/
The Sweet Hereafter,movie,"NOV 21, 1997",R,91,https://www.metacritic.com/movie/the-sweet-hereafter/
The Right Stuff,movie,"OCT 21, 1983",PG,91,https://www.metacritic.com/movie/the-right-stuff/
Bambi,movie,"AUG 21, 1942",Approved,91,https://www.metacritic.com/movie/bambi/
Bringing Up Baby,movie,"FEB 18, 1938",Approved,91,https://www.metacritic.com/movie/bringing-up-baby/
 Green Border,movie,"JUN 21, 2024",N/A,91,https://www.metacritic.com/movie/green-border/
Nostalgia for the Light,movie,"MAR 18, 2011",Not Rated,91,https://www.metacritic.com/movie/nostalgia-for-the-light/
The Gatekeepers,movie,"FEB 1, 2013",PG-13,91,https://www.metacritic.com/movie/the-gatekeepers/
Before Sunset,movie,"JUL 2, 2004",R,91,https://www.metacritic.com/movie/before-sunset/
La Chimera,movie,"MAR 29, 2024",Not Rated,91,https://www.metacritic.com/movie/la-chimera/
The Worst Person in the World,movie,"FEB 4, 2022",R,91,https://www.metacritic.com/movie/the-worst-person-in-the-world/
David Copperfield,movie,"JAN 18, 1935",Approved,91,https://www.metacritic.com/movie/david-copperfield/
Saving Private Ryan,movie,"JUL 24, 1998",R,91,https://www.metacritic.com/movie/saving-private-ryan/
Licorice Pizza,movie,"NOV 26, 2021",R,90,https://www.metacritic.com/movie/licorice-pizza/
Ben-Hur,movie,"NOV 18, 1959",TV-PG,90,https://www.metacritic.com/movie/ben-hur-1959/
Only Yesterday (1991),movie,"JAN 1, 2016",PG,90,https://www.metacritic.com/movie/only-yesterday-1991/
32 Sounds,movie,"APR 28, 2023",N/A,90,https://www.metacritic.com/movie/32-sounds/
The Crying Game,movie,"NOV 25, 1992",R,90,https://www.metacritic.com/movie/the-crying-game/
Great Expectations,movie,"MAY 22, 1947",Approved,90,https://www.metacritic.com/movie/great-expectations-1947/
First Cow,movie,"MAR 6, 2020",PG-13,90,https://www.metacritic.com/movie/first-cow/
Mad Max: Fury Road,movie,"MAY 15, 2015",R,90,https://www.metacritic.com/movie/mad-max-fury-road/
Le Samouraï,movie,"JUL 12, 1972",GP,90,https://www.metacritic.com/movie/le-samourai/
Halloween,movie,"OCT 25, 1978",R,90,https://www.metacritic.com/movie/halloween-1978/
Ghost World,movie,"JUL 20, 2001",R,90,https://www.metacritic.com/movie/ghost-world/
Winter's Bone,movie,"JUN 11, 2010",R,90,https://www.metacritic.com/movie/winters-bone/
The Queen,movie,"SEP 30, 2006",PG-13,90,https://www.metacritic.com/movie/the-queen/
Gett: The Trial of Viviane Amsalem,movie,"FEB 13, 2015",Not Rated,90,https://www.metacritic.com/movie/gett-the-trial-of-viviane-amsalem/
I Called Him Morgan,movie,"MAR 24, 2017",N/A,90,https://www.metacritic.com/movie/i-called-him-morgan/
All of Us Strangers,movie,"DEC 22, 2023",R,90,https://www.metacritic.com/movie/all-of-us-strangers/
 Close Encounters of the Third Kind,movie,"NOV 16, 1977",PG,90,https://www.metacritic.com/movie/close-encounters-of-the-third-kind/
The Godfather: Part II,movie,"DEC 12, 1974",R,90,https://www.metacritic.com/movie/the-godfather-part-ii/
The Hustler,movie,"SEP 25, 1961",Approved,90,https://www.metacritic.com/movie/the-hustler/
Red Beard,movie,"DEC 19, 1968",Not Rated,90,https://www.metacritic.com/movie/red-beard/
Procession,movie,"NOV 19, 2021",R,90,https://www.metacritic.com/movie/procession/
My Voyage to Italy,movie,"OCT 19, 2001",PG-13,90,https://www.metacritic.com/movie/my-voyage-to-italy/
Bloody Sunday,movie,"OCT 4, 2002",R,90,https://www.metacritic.com/movie/bloody-sunday/
"The Good, the Bad and the Ugly",movie,"DEC 29, 1967",TV-14,90,https://www.metacritic.com/movie/the-good-the-bad-and-the-ugly/
Blue Is the Warmest Color,movie,"OCT 25, 2013",NC-17,90,https://www.metacritic.com/movie/blue-is-the-warmest-color/
Phantom Thread,movie,"DEC 25, 2017",R,90,https://www.metacritic.com/movie/phantom-thread/
American Splendor,movie,"AUG 15, 2003",R,90,https://www.metacritic.com/movie/american-splendor/
Gosford Park,movie,"DEC 26, 2001",R,90,https://www.metacritic.com/movie/gosford-park/
The Birds,movie,"MAR 29, 1963",TV-PG,90,https://www.metacritic.com/movie/the-birds/
Wojnarowicz,movie,"MAR 19, 2021",N/A,90,https://www.metacritic.com/movie/wojnarowicz/
My Perestroika,movie,"MAR 23, 2011",Not Rated,90,https://www.metacritic.com/movie/my-perestroika/
Paths of the Soul,movie,"MAY 13, 2016",Not Rated,90,https://www.metacritic.com/movie/paths-of-the-soul/
The Souvenir: Part II,movie,"OCT 29, 2021",R,90,https://www.metacritic.com/movie/the-souvenir-part-ii/
It's Such a Beautiful Day,movie,"OCT 5, 2012",TV-PG,90,https://www.metacritic.com/movie/its-such-a-beautiful-day-2012/
This Is Not a Film,movie,"MAR 2, 2012",Not Rated,90,https://www.metacritic.com/movie/this-is-not-a-film/
To Have and Have Not,movie,"JAN 20, 1945",Approved,90,https://www.metacritic.com/movie/to-have-and-have-not/
Finding Nemo,movie,"MAY 30, 2003",G,90,https://www.metacritic.com/movie/finding-nemo/
Topsy-Turvy,movie,"DEC 17, 1999",R,90,https://www.metacritic.com/movie/topsy-turvy/
Samurai Rebellion,movie,"DEC 1, 1967",Not Rated,90,https://www.metacritic.com/movie/samurai-rebellion/
Small Axe: Mangrove,movie,"NOV 20, 2020",TV-MA,90,https://www.metacritic.com/movie/small-axe-mangrove/
 The Incredibles,movie,"NOV 5, 2004",PG,90,https://www.metacritic.com/movie/the-incredibles/
Being John Malkovich,movie,"OCT 29, 1999",R,90,https://www.metacritic.com/movie/being-john-malkovich/
A Prophet,movie,"FEB 26, 2010",R,90,https://www.metacritic.com/movie/a-prophet/
Almost Famous,movie,"SEP 13, 2000",R,90,https://www.metacritic.com/movie/almost-famous/
High and Low,movie,"NOV 26, 1963",Not Rated,90,https://www.metacritic.com/movie/high-and-low/
Oppenheimer,movie,"JUL 21, 2023",R,90,https://www.metacritic.com/movie/oppenheimer/
Paths of Glory,movie,"DEC 25, 1957",Approved,90,https://www.metacritic.com/movie/paths-of-glory/
Cold War,movie,"DEC 21, 2018",R,90,https://www.metacritic.com/movie/cold-war/
Scarface,movie,"APR 9, 1932",PG,90,https://www.metacritic.com/movie/scarface-1932/
The Truman Show,movie,"JUN 5, 1998",PG,90,https://www.metacritic.com/movie/the-truman-show/
Once,movie,"MAY 16, 2007",R,90,https://www.metacritic.com/movie/once/
Big Men,movie,"MAR 14, 2014",Not Rated,90,https://www.metacritic.com/movie/big-men/
Hannah and Her Sisters,movie,"FEB 1, 1986",PG-13,90,https://www.metacritic.com/movie/hannah-and-her-sisters/
The Circus,movie,"JAN 1, 1929",Passed,90,https://www.metacritic.com/movie/the-circus/
The Tale,movie,"MAY 26, 2018",TV-MA,90,https://www.metacritic.com/movie/the-tale/
Paterson,movie,"DEC 28, 2016",R,90,https://www.metacritic.com/movie/paterson/
The Blue Angel,movie,"DEC 5, 1930",Passed,90,https://www.metacritic.com/movie/the-blue-angel/
The Fits,movie,"JUN 3, 2016",Not Rated,90,https://www.metacritic.com/movie/the-fits/
Raging Bull,movie,"NOV 14, 1980",R,90,https://www.metacritic.com/movie/raging-bull/
Eyes Without a Face [re-release],movie,"OCT 31, 2003",Not Rated,90,https://www.metacritic.com/movie/eyes-without-a-face-re-release/
United 93,movie,"APR 28, 2006",R,90,https://www.metacritic.com/movie/united-93/
The Lavender Hill Mob,movie,"OCT 15, 1951",Approved,90,https://www.metacritic.com/movie/the-lavender-hill-mob/
Capturing the Friedmans,movie,"MAY 30, 2003",Not Rated,90,https://www.metacritic.com/movie/capturing-the-friedmans/
American Hustle,movie,"DEC 13, 2013",R,90,https://www.metacritic.com/movie/american-hustle/
 The Passenger (re-release),movie,"OCT 28, 2005",PG-13,90,https://www.metacritic.com/movie/the-passenger-re-release/
Star Wars: Episode IV - A New Hope,movie,"MAY 25, 1977",PG,90,https://www.metacritic.com/movie/star-wars-episode-iv---a-new-hope/
Persepolis,movie,"DEC 25, 2007",PG-13,90,https://www.metacritic.com/movie/persepolis/
The Age of Innocence,movie,"SEP 17, 1993",PG,90,https://www.metacritic.com/movie/the-age-of-innocence/
The Deer Hunter,movie,"DEC 8, 1978",R,90,https://www.metacritic.com/movie/the-deer-hunter/
Eternal Sunshine of the Spotless Mind,movie,"MAR 19, 2004",R,89,https://www.metacritic.com/movie/eternal-sunshine-of-the-spotless-mind/
The Best of Youth,movie,"MAR 2, 2005",R,89,https://www.metacritic.com/movie/the-best-of-youth/
The Overnighters,movie,"OCT 10, 2014",PG-13,89,https://www.metacritic.com/movie/the-overnighters/
Fat City,movie,"JUL 26, 1972",PG,89,https://www.metacritic.com/movie/fat-city/
The Lives of Others,movie,"DEC 1, 2006",R,89,https://www.metacritic.com/movie/the-lives-of-others/
Two-Lane Blacktop,movie,"JUL 7, 1971",R,89,https://www.metacritic.com/movie/two-lane-blacktop/
House of Flying Daggers,movie,"DEC 3, 2004",PG-13,89,https://www.metacritic.com/movie/house-of-flying-daggers/
63 Up,movie,"NOV 27, 2019",Unrated,89,https://www.metacritic.com/movie/63-up/
Minding the Gap,movie,"AUG 17, 2018",Not Rated,89,https://www.metacritic.com/movie/minding-the-gap/
Investigation of a Citizen Above Suspicion [re-release],movie,"APR 4, 2003",R,89,https://www.metacritic.com/movie/investigation-of-a-citizen-above-suspicion-re-release/
Treasure Island,movie,"JUL 19, 1950",Approved,89,https://www.metacritic.com/movie/treasure-island/
Searching for Bobby Fischer,movie,"AUG 11, 1993",PG,89,https://www.metacritic.com/movie/searching-for-bobby-fischer/
Anora,movie,"OCT 18, 2024",N/A,89,https://www.metacritic.com/movie/anora/
Whiplash,movie,"OCT 10, 2014",R,89,https://www.metacritic.com/movie/whiplash/
"Two Days, One Night",movie,"DEC 24, 2014",PG-13,89,https://www.metacritic.com/movie/two-days-one-night/
Killers of the Flower Moon,movie,"OCT 20, 2023",R,89,https://www.metacritic.com/movie/killers-of-the-flower-moon/
National Gallery,movie,"NOV 5, 2014",Not Rated,89,https://www.metacritic.com/movie/national-gallery/
Assault on Precinct 13,movie,"NOV 5, 1976",R,89,https://www.metacritic.com/movie/assault-on-precinct-13-1976/
Man on Wire,movie,"JUL 25, 2008",PG-13,89,https://www.metacritic.com/movie/man-on-wire/
 Y Tu Mamá También,movie,"MAR 15, 2002",R,89,https://www.metacritic.com/movie/y-tu-mama-tambien/
For Sama,movie,"JUL 26, 2019",TV-PG,89,https://www.metacritic.com/movie/for-sama/
Force of Evil,movie,"MAR 1, 1949",Approved,89,https://www.metacritic.com/movie/force-of-evil/
White Heat,movie,"SEP 3, 1949",Approved,89,https://www.metacritic.com/movie/white-heat/
The Hidden Fortress,movie,"OCT 6, 1960",Not Rated,89,https://www.metacritic.com/movie/the-hidden-fortress/
Elle,movie,"NOV 11, 2016",R,89,https://www.metacritic.com/movie/elle/
Still Walking,movie,"AUG 21, 2009",Not Rated,89,https://www.metacritic.com/movie/still-walking/
Gangs of Wasseypur,movie,"JAN 16, 2015",Not Rated,89,https://www.metacritic.com/movie/gangs-of-wasseypur/
Thelma & Louise,movie,"MAY 24, 1991",R,89,https://www.metacritic.com/movie/thelma-louise/
After Hours,movie,"SEP 13, 1985",R,89,https://www.metacritic.com/movie/after-hours/
When the Levees Broke: A Requiem in Four Acts,movie,"AUG 21, 2006",TV-MA,89,https://www.metacritic.com/movie/when-the-levees-broke-a-requiem-in-four-acts/
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,movie,"NOV 3, 2006",R,89,https://www.metacritic.com/movie/borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan/
Minari,movie,"DEC 11, 2020",PG-13,89,https://www.metacritic.com/movie/minari/
Barry Lyndon,movie,"DEC 18, 1975",PG,89,https://www.metacritic.com/movie/barry-lyndon/
The Farewell,movie,"JUL 12, 2019",PG,89,https://www.metacritic.com/movie/the-farewell/
The Tale of The Princess Kaguya,movie,"OCT 17, 2014",PG,89,https://www.metacritic.com/movie/the-tale-of-the-princess-kaguya/
Uncertain,movie,"MAR 10, 2017",N/A,89,https://www.metacritic.com/movie/uncertain/
Captain Blood,movie,"DEC 28, 1935",Approved,89,https://www.metacritic.com/movie/captain-blood/
Great Freedom,movie,"MAR 4, 2022",Unrated,89,https://www.metacritic.com/movie/great-freedom/
A Star Is Born,movie,"OCT 16, 1954",Passed,89,https://www.metacritic.com/movie/a-star-is-born-1954/
No End in Sight,movie,"JUL 27, 2007",Not Rated,89,https://www.metacritic.com/movie/no-end-in-sight/
It's a Wonderful Life,movie,"JAN 7, 1947",Approved,89,https://www.metacritic.com/movie/its-a-wonderful-life/
The Madness of King George,movie,"DEC 28, 1994",PG-13,89,https://www.metacritic.com/movie/the-madness-of-king-george/
Phoenix,movie,"JUL 24, 2015",PG-13,89,https://www.metacritic.com/movie/phoenix/
 Goodbye Solo,movie,"MAR 27, 2009",R,89,https://www.metacritic.com/movie/goodbye-solo/
Gunda,movie,"DEC 11, 2020",G,89,https://www.metacritic.com/movie/gunda/
Western,movie,"SEP 25, 2015",Not Rated,89,https://www.metacritic.com/movie/western/
The Power of the Dog,movie,"NOV 17, 2021",R,89,https://www.metacritic.com/movie/the-power-of-the-dog/
Mr. Bachmann and His Class,movie,"FEB 20, 2022",N/A,89,https://www.metacritic.com/movie/mr-bachmann-and-his-class/
Downhill Racer,movie,"NOV 7, 1969",M,89,https://www.metacritic.com/movie/downhill-racer/
Deep Red,movie,"JUN 11, 1976",R,89,https://www.metacritic.com/movie/deep-red/
Alien,movie,"JUN 22, 1979",R,89,https://www.metacritic.com/movie/alien-1979/
Columbus,movie,"AUG 4, 2017",Not Rated,89,https://www.metacritic.com/movie/columbus/
Night of the Living Dead,movie,"OCT 1, 1968",Not Rated,89,https://www.metacritic.com/movie/night-of-the-living-dead/
The Artist,movie,"NOV 23, 2011",PG-13,89,https://www.metacritic.com/movie/the-artist/
Yankee Doodle Dandy,movie,"JUN 6, 1942",Approved,89,https://www.metacritic.com/movie/yankee-doodle-dandy/
Foreign Correspondent,movie,"AUG 16, 1940",Approved,89,https://www.metacritic.com/movie/foreign-correspondent/
Zama,movie,"APR 13, 2018",Unrated,89,https://www.metacritic.com/movie/zama/
The Piano,movie,"NOV 1, 1993",R,89,https://www.metacritic.com/movie/the-piano/
Of Mice and Men,movie,"JAN 12, 1940",Passed,89,https://www.metacritic.com/movie/of-mice-and-men/
Dead Souls,movie,"DEC 14, 2018",N/A,89,https://www.metacritic.com/movie/dead-souls/
Cameraperson,movie,"SEP 9, 2016",Not Rated,89,https://www.metacritic.com/movie/cameraperson/
The Mother and the Whore,movie,"OCT 5, 1973",N/A,89,https://www.metacritic.com/movie/the-mother-and-the-whore/
Dick Johnson Is Dead,movie,"OCT 2, 2020",PG-13,89,https://www.metacritic.com/movie/dick-johnson-is-dead/
Quai des Orfèvres [re-release],movie,"OCT 25, 2002",Not Rated,89,https://www.metacritic.com/movie/quai-des-orfcvres-re-release/
High Noon,movie,"JUL 30, 1952",Approved,89,https://www.metacritic.com/movie/high-noon-re-release/
Piccadilly [re-release],movie,"JAN 23, 2004",Passed,89,https://www.metacritic.com/movie/piccadilly-re-release/
Rebel Without a Cause,movie,"OCT 29, 1955",TV-PG,89,https://www.metacritic.com/movie/rebel-without-a-cause/
 The Quiet Girl,movie,"DEC 16, 2022",PG-13,89,https://www.metacritic.com/movie/the-quiet-girl/
Letters from Iwo Jima,movie,"DEC 20, 2006",R,89,https://www.metacritic.com/movie/letters-from-iwo-jima/
The Seventh Continent (1989),movie,"MAY 16, 2006",Not Rated,89,https://www.metacritic.com/movie/the-seventh-continent-1989/
A Woman Under the Influence,movie,"NOV 18, 1974",R,88,https://www.metacritic.com/movie/a-woman-under-the-influence/
Anomalisa,movie,"DEC 30, 2015",R,88,https://www.metacritic.com/movie/anomalisa/
Funny Girl,movie,"SEP 19, 1968",G,88,https://www.metacritic.com/movie/funny-girl/
I'm Going Home,movie,"AUG 14, 2002",Not Rated,88,https://www.metacritic.com/movie/im-going-home/
Show Boat,movie,"MAY 17, 1936",Approved,88,https://www.metacritic.com/movie/show-boat/
The Arbor,movie,"APR 27, 2011",Unrated,88,https://www.metacritic.com/movie/the-arbor/
Long Day's Journey Into Night,movie,"APR 12, 2019",Not Rated,88,https://www.metacritic.com/movie/long-days-journey-into-night/
Three Minutes: A Lengthening,movie,"AUG 19, 2022",PG,88,https://www.metacritic.com/movie/three-minutes-a-lengthening/
Richard III,movie,"MAR 11, 1956",Not Rated,88,https://www.metacritic.com/movie/richard-iii-1956/
Democrats,movie,"NOV 18, 2015",N/A,88,https://www.metacritic.com/movie/democrats/
The Lion King,movie,"JUN 15, 1994",G,88,https://www.metacritic.com/movie/the-lion-king/
4 Little Girls,movie,"JUL 9, 1997",TV-14,88,https://www.metacritic.com/movie/4-little-girls/
Wild Strawberries,movie,"JUN 22, 1959",Not Rated,88,https://www.metacritic.com/movie/wild-strawberries/
Ear for Eye,movie,"APR 14, 2023",N/A,88,https://www.metacritic.com/movie/ear-for-eye/
Crime + Punishment,movie,"AUG 24, 2018",N/A,88,https://www.metacritic.com/
The Seventh Seal,movie,"OCT 13, 1958",Not Rated,88,https://www.metacritic.com/movie/the-seventh-seal/
